City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,olonkinbyen,70.9221,-8.7187,3.92,100,99,4.31,SJ,1687228969
314,prince rupert,54.3161,-130.3201,14.83,94,100,6.69,CA,1687228719
315,kill devil hills,36.0307,-75.676,23.32,87,0,2.57,US,1687228970
316,el calafate,-50.3408,-72.2768,-0.38,63,81,0.82,AR,1687228970
317,ubari,26.5921,12.7805,25.4,17,0,3.92,LY,1687228970
318,peace river,56.2501,-117.286,18.17,36,75,10.29,CA,1687228970
319,bubaque,11.2833,-15.8333,27.3,80,100,5.44,GW,1687228970
320,turabah,21.2141,41.6331,27.3,23,93,1.45,SA,1687228971
321,dakhla,23.6848,-15.958,20.2,92,0,5.56,EH,1687228971
322,fada,9.5667,8.3,20.5,98,100,1.21,NG,1687228971
323,medea,36.2642,2.7539,25.98,22,2,8.44,DZ,1687228971
324,rongelap,11.1635,166.8941,27.98,79,72,6.69,MH,1687228971
325,broken hill,-31.95,141.4333,10.85,52,100,1.52,AU,1687228972
326,kushalgarh,23.199,74.4507,29.21,65,33,6.8,IN,1687228972
327,mount pleasant,32.7941,-79.8626,23.99,97,75,2.06,US,1687228865
328,uturoa,-16.7333,-151.4333,26.9,78,5,2.9,PF,1687228972
329,san julian,21.0167,-102.1667,25.24,21,22,8.7,MX,1687228972
330,al jawf,29.5,38.75,21.06,41,0,6.14,SA,1687228972
331,aasiaat,68.7098,-52.8699,2.72,85,100,3.52,GL,1687228972
332,meridian,43.6121,-116.3915,14.47,56,0,5.14,US,1687228973
333,aswan,24.0934,32.907,27.23,26,0,5.93,EG,1687228973
334,mount gambier,-37.8333,140.7667,10.14,60,100,1.97,AU,1687228973
335,ust'-ilimsk,58.0006,102.6619,19.24,27,98,1.75,RU,1687228973
336,wurtulla,-26.7568,153.1256,20.03,39,3,1.79,AU,1687228973
337,mata-utu,-13.2816,-176.1745,27.22,76,46,6.17,WF,1687228974
338,dongtai,32.8523,120.3095,27.79,69,100,4.85,CN,1687228974
339,medicine hat,50.0501,-110.6683,19.24,31,40,8.75,CA,1687228824
340,larkird,35.4894,66.6641,26.05,21,0,0.39,AF,1687228974
341,kuala terengganu,5.3302,103.1408,32.21,79,20,2.57,MY,1687228974
342,souillac,-20.5167,57.5167,22.21,83,40,2.57,MU,1687228974
343,nemuro,43.3236,145.575,12.69,80,68,2.94,JP,1687228974
344,san ramon,37.7799,-121.978,18.54,58,0,8.23,US,1687228975
345,burang,30.25,81.1667,7.83,94,100,1.65,CN,1687228975
346,kerikeri,-35.2268,173.9474,16.62,86,58,2.53,NZ,1687228975
347,tangalle,6.024,80.7911,28.09,74,89,6.01,LK,1687228975
348,rayachoti,14.05,78.75,25.18,77,100,6.38,IN,1687228975
349,haimen,23.1935,116.6142,27.94,75,87,7.14,CN,1687228975
350,sacramento,38.4666,-121.3177,23.92,45,0,6.17,US,1687228441
351,waingapu,-9.6567,120.2641,27.54,67,5,3.6,ID,1687228976
352,camana,-16.6228,-72.7111,18.2,82,30,4.22,PE,1687228976
353,watsa,3.0372,29.5355,17.91,99,100,0.81,CD,1687228976
354,beykonak,36.3257,30.303,23.62,61,0,2.51,TR,1687228976
355,dalnerechensk,45.9339,133.7225,25.35,54,100,2.64,RU,1687228976
356,phan thiet,10.9333,108.1,32.61,58,27,4.94,VN,1687228977
357,bovalino,38.149,16.174,22.86,44,5,3.0,IT,1687228977
358,puerto asis,0.5133,-76.5007,20.93,90,0,1.12,CO,1687228977
359,talcahuano,-36.7167,-73.1167,11.82,76,100,4.12,CL,1687228977
360,saint-pierre,-21.3393,55.4781,20.82,56,100,3.6,RE,1687228977
361,taksimo,56.3444,114.8794,14.26,47,94,3.61,RU,1687228977
362,cannonvale,-20.2833,148.7,22.66,68,19,5.47,AU,1687228977
363,balkashino,52.5167,68.7667,7.11,81,100,9.17,KZ,1687228978
364,mirny,62.5353,113.9611,15.13,38,100,5.81,RU,1687228913
